
Gemeinde,Bezirk,Bundesland,Gebietskennzahl,Einwohner,Vollimmunisiert %,Teilimmunisiert %,Vollimmunisiert,Teilimmunisiert
Ernstbrunn,Korneuburg,Niederösterreich,31203,3272,43.31,63.02,1417,2062
Ernsthofen,Amstetten,Niederösterreich,30509,2286,42.13,54.68,963,1250
Ertl,Amstetten,Niederösterreich,30510,1259,29.39,40.75,370,513
Eschenau,Lilienfeld,Niederösterreich,31402,1310,37.79,49.85,495,653
Eschenau im Hausruckkreis,Grieskirchen,Oberösterreich,40804,1047,31.23,41.93,327,439
Esternberg,Schärding,Oberösterreich,41409,2850,37.93,52.14,1081,1486
Eugendorf,Salzburg-Umgebung,Salzburg,50310,7083,42.19,53.4,2988,3782
Euratsfeld,Amstetten,Niederösterreich,30511,2686,37.83,53.24,1016,1430
Faggen,Landeck,Tirol,70601,383,23.5,47.78,90,183
Faistenau,Salzburg-Umgebung,Salzburg,50311,3085,32.16,44.05,992,1359
Falkenstein,Mistelbach,Niederösterreich,31608,488,54.92,70.29,268,343
Fallbach,Mistelbach,Niederösterreich,31609,802,49.25,66.96,395,537
Fehring,Südoststeiermark,Steiermark,62378,7167,43.92,59.87,3148,4291
Feistritz am Wechsel,Neunkirchen,Niederösterreich,31809,1030,43.79,58.93,451,607
Feistritz an der Gail,Villach Land,Kärnten,20707,632,42.25,56.01,267,354
Feistritz im Rosental,Klagenfurt Land,Kärnten,20403,2494,44.91,56.74,1120,1415
Feistritz ob Bleiburg,Völkermarkt,Kärnten,20805,2194,36.28,47.95,796,1052
Feistritztal,Hartberg-Fürstenfeld,Steiermark,62266,2402,33.51,49.21,805,1182
Feld am See,Villach Land,Kärnten,20708,1080,47.41,58.52,512,632
Feldbach,Südoststeiermark,Steiermark,62379,13371,39.89,56.41,5334,7543
Feldkirch,Feldkirch,Vorarlberg,80404,34538,43.98,56.1,15190,19376
Feldkirchen an der Donau,Urfahr-Umgebung,Oberösterreich,41606,5361,47.79,61.2,2562,3281
Feldkirchen bei Graz,Graz-Umgebung,Steiermark,60608,6847,34.6,52.59,2369,3601
Feldkirchen bei Mattighofen,Braunau am Inn,Oberösterreich,40407,2017,24.29,34.95,490,705
Feldkirchen in Kärnten,Feldkirchen,Kärnten,21002,14289,41.49,51.85,5929,7409
Felixdorf,Wiener Neustadt (Land),Niederösterreich,32307,4413,34.62,52.05,1528,2297
Fels am Wagram,Tulln,Niederösterreich,32106,2368,45.35,62.71,1074,1485
Fendels,Landeck,Tirol,70602,275,36.36,60.73,100,167
Ferlach,Klagenfurt Land,Kärnten,20405,7206,42.46,53.84,3060,3880
Ferndorf,Villach Land,Kärnten,20710,2074,36.16,44.89,750,931
Fernitz-Mellach,Graz-Umgebung,Steiermark,60662,4894,43.48,59.83,2128,2928
Ferschnitz,Amstetten,Niederösterreich,30512,1836,37.69,52.72,692,968
Fieberbrunn,Kitzbühel,Tirol,70403,4407,37.28,56.09,1643,2472
Filzmoos,Sankt Johann im Pongau,Salzburg,50407,1511,37.66,47.39,569,716
Finkenberg,Schwaz,Tirol,70908,1413,60.93,64.4,861,910
Finkenstein am Faaker See,Villach Land,Kärnten,20711,9144,43.02,54.71,3934,5003
Fischamend,Bruck an der Leitha,Niederösterreich,30730,5578,46.97,62.64,2620,3494
Fischbach,Weiz,Steiermark,61708,1530,37.78,55.1,578,843
Fischlham,Wels-Land,Oberösterreich,41807,1345,40.82,53.61,549,721
Fiss,Landeck,Tirol,70603,995,37.19,57.39,370,571
Flachau,Sankt Johann im Pongau,Salzburg,50408,2924,36.8,49.15,1076,1437
Fladnitz an der Teichalm,Weiz,Steiermark,61758,1807,36.91,55.01,667,994
Flattach,Spittal an der Drau,Kärnten,20607,1185,31.9,42.95,378,509
Flaurling,Innsbruck-Land,Tirol,70308,1309,39.34,58.29,515,763
Fließ,Landeck,Tirol,70604,3094,32.29,54.52,999,1687
Flirsch,Landeck,Tirol,70605,991,41.98,60.14,416,596
Floing,Weiz,Steiermark,61710,1189,34.82,50.55,414,601
Fohnsdorf,Murtal,Steiermark,62007,7611,44.46,57.71,3384,4392
Fontanella,Bludenz,Vorarlberg,80109,457,45.73,54.27,209,248
Forchach,Reutte,Tirol,70810,260,34.23,53.46,89,139
Forchtenstein,Mattersburg,Burgenland,10602,2800,51.14,63.86,1432,1788
Fornach,Vöcklabruck,Oberösterreich,41708,969,30.34,43.34,294,420
Forstau,Sankt Johann im Pongau,Salzburg,50409,547,39.49,47.9,216,262
Fraham,Eferding,Oberösterreich,40504,2456,41.08,54.56,1009,1340
Frankenau-Unterpullendorf,Oberpullendorf,Burgenland,10803,1065,62.16,72.96,662,777
Frankenburg am Hausruck,Vöcklabruck,Oberösterreich,41709,4884,35.87,48.28,1752,2358
Frankenfels,Sankt Pölten (Land),Niederösterreich,31906,1934,37.02,50.41,716,975
Frankenmarkt,Vöcklabruck,Oberösterreich,41710,3757,32.69,44.8,1228,1683
Franking,Braunau am Inn,Oberösterreich,40408,1018,41.26,50.49,420,514
Frantschach-St. Gertraud,Wolfsberg,Kärnten,20905,2516,39.43,54.77,992,1378
Frastanz,Feldkirch,Vorarlberg,80405,6559,45.91,56.08,3011,3678
Frauenkirchen,Neusiedl am See,Burgenland,10705,2854,49.96,63.67,1426,1817
Frauenstein,Sankt Veit an der Glan,Kärnten,20534,3539,48.38,59.59,1712,2109
Frauental an der Laßnitz,Deutschlandsberg,Steiermark,60305,2994,37.47,55.21,1122,1653
Fraxern,Feldkirch,Vorarlberg,80406,719,45.9,55.49,330,399
Freinberg,Schärding,Oberösterreich,41410,1440,31.25,40.14,450,578
Freistadt,Freistadt,Oberösterreich,40601,7959,41.3,54.5,3287,4338
Fresach,Villach Land,Kärnten,20712,1249,36.11,45.48,451,568
Friedberg,Hartberg-Fürstenfeld,Steiermark,62211,2623,37.17,52.34,975,1373
Friesach,Sankt Veit an der Glan,Kärnten,20505,4875,48.94,60.98,2386,2973
Fritzens,Innsbruck-Land,Tirol,70309,2148,42.78,59.87,919,1286
Frohnleiten,Graz-Umgebung,Steiermark,60663,6517,43.03,60.83,2804,3964
Fügen,Schwaz,Tirol,70909,4227,55.83,60.94,2360,2576
Fügenberg,Schwaz,Tirol,70910,1436,54.53,60.38,783,867
Fulpmes,Innsbruck-Land,Tirol,70310,4495,38,58.4,1708,2625
Fürstenfeld,Hartberg-Fürstenfeld,Steiermark,62267,8655,48.08,60.47,4161,5234
Furth an der Triesting,Baden,Niederösterreich,30609,865,39.77,59.88,344,518
Furth bei Göttweig,Krems (Land),Niederösterreich,31309,2964,46.36,64.91,1374,1924
Fusch an der Großglocknerstraße,Zell am See,Salzburg,50604,759,49.28,59.03,374,448
Fuschl am See,Salzburg-Umgebung,Salzburg,50312,1591,40.92,55,651,875
Fußach,Bregenz,Vorarlberg,80213,3873,46.11,57.42,1786,2224
Gaaden,Mödling,Niederösterreich,31706,1650,55.64,72.73,918,1200
Gaal,Murtal,Steiermark,62008,1334,42.2,58.77,563,784
Gabersdorf,Leibnitz,Steiermark,61008,1259,33.28,48.61,419,612
Gablitz,Sankt Pölten (Land),Niederösterreich,31949,5019,48.54,64.91,2436,3258
Gaflenz,Steyr-Land,Oberösterreich,41505,1922,37.04,46.51,712,894
Gaimberg,Lienz,Tirol,70708,872,38.99,48.28,340,421
Gaishorn am See,Liezen,Steiermark,61256,1289,41.97,55.47,541,715
Gaißau,Bregenz,Vorarlberg,80214,1875,44.53,55.04,835,1032
Gallizien,Völkermarkt,Kärnten,20806,1755,46.32,55.61,813,976
Gallneukirchen,Urfahr-Umgebung,Oberösterreich,41607,6625,47,62.02,3114,4109
Gallspach,Grieskirchen,Oberösterreich,40805,2809,37.63,48.06,1057,1350
Gallzein,Schwaz,Tirol,70911,679,53.9,56.85,366,386
Galtür,Landeck,Tirol,70606,767,56.45,72.36,433,555
Gaming,Scheibbs,Niederösterreich,32001,2974,45.49,57.7,1353,1716
Gamlitz,Leibnitz,Steiermark,61050,3200,39.66,55.38,1269,1772
Gampern,Vöcklabruck,Oberösterreich,41711,2961,35.02,50.05,1037,1482
Gänserndorf,Gänserndorf,Niederösterreich,30817,11832,40.17,59.41,4753,7029
Gars am Kamp,Horn,Niederösterreich,31106,3472,45.62,64.6,1584,2243
Garsten,Steyr-Land,Oberösterreich,41506,6603,45.22,56.78,2986,3749
Gaschurn,Bludenz,Vorarlberg,80110,1441,43.79,56.56,631,815
Gasen,Weiz,Steiermark,61711,883,34.09,51.53,301,455
Gaspoltshofen,Grieskirchen,Oberösterreich,40806,3580,44.39,55.95,1589,2003
Gastern,Waidhofen an der Thaya,Niederösterreich,32206,1181,36.24,50.64,428,598
Gattendorf,Neusiedl am See,Burgenland,10706,1412,46.95,57.72,663,815
Gaubitsch,Mistelbach,Niederösterreich,31611,873,47.88,68.84,418,601
Gaweinstal,Mistelbach,Niederösterreich,31612,4022,44.01,64.69,1770,2602
Geboltskirchen,Grieskirchen,Oberösterreich,40807,1440,37.57,50.63,541,729
Gedersdorf,Krems (Land),Niederösterreich,31310,2131,47.68,65.98,1016,1406
Geiersberg,Ried im Innkreis,Oberösterreich,41206,499,45.09,56.31,225,281
Geinberg,Ried im Innkreis,Oberösterreich,41207,1420,38.66,51.69,549,734
Geistthal-Södingberg,Voitsberg,Steiermark,61628,1487,34.7,49.29,516,733
Geras,Horn,Niederösterreich,31107,1269,60.84,70.61,772,896
Gerasdorf bei Wien,Korneuburg,Niederösterreich,31235,11666,43.81,63.07,5111,7358
Gerersdorf,Sankt Pölten (Land),Niederösterreich,31907,1015,48.37,60.69,491,616
Gerersdorf-Sulz,Güssing,Burgenland,10404,1003,52.94,68.49,531,687
Geretsberg,Braunau am Inn,Oberösterreich,40409,1171,31.51,42.87,369,502
Gerlos,Schwaz,Tirol,70912,805,64.47,66.34,519,534
Gerlosberg,Schwaz,Tirol,70913,472,49.79,52.97,235,250
Gersdorf an der Feistritz,Weiz,Steiermark,61759,1703,31.83,47.56,542,810
Gföhl,Krems (Land),Niederösterreich,31311,3767,41.01,57.45,1545,2164
Gießhübl,Mödling,Niederösterreich,31707,2375,53.68,69.35,1275,1647
Gilgenberg am Weilhart,Braunau am Inn,Oberösterreich,40410,1371,34.79,46.54,477,638
Gitschtal,Hermagor,Kärnten,20320,1240,45.89,56.94,569,706
Glanegg,Feldkirchen,Kärnten,21003,1795,43.51,56.88,781,1021
Gleinstätten,Leibnitz,Steiermark,61051,2773,39.67,54.06,1100,1499
Gleisdorf,Weiz,Steiermark,61760,11072,39.52,54.65,4376,6051
Glinzendorf,Gänserndorf,Niederösterreich,30819,329,37.69,55.62,124,183
Globasnitz,Völkermarkt,Kärnten,20807,1592,42.27,53.77,673,856
Glödnitz,Sankt Veit an der Glan,Kärnten,20506,815,47.61,59.14,388,482
Gloggnitz,Neunkirchen,Niederösterreich,31810,5815,44.87,60.21,2609,3501
Gmünd,Gmünd,Niederösterreich,30908,5238,46.16,61.32,2418,3212
Gmünd in Kärnten,Spittal an der Drau,Kärnten,20608,2541,35.22,47.54,895,1208
Gmunden,Gmunden,Oberösterreich,40705,13203,43.66,56.71,5764,7487
Gnadendorf,Mistelbach,Niederösterreich,31613,1150,54.35,70.52,625,811
Gnadenwald,Innsbruck-Land,Tirol,70311,826,45.16,63.2,373,522
Gnas,Südoststeiermark,Steiermark,62380,5977,38.88,54.32,2324,3247
Gnesau,Feldkirchen,Kärnten,21004,1022,36.59,47.65,374,487
Göfis,Feldkirch,Vorarlberg,80407,3321,47.73,59.2,1585,1966
Going am Wilden Kaiser,Kitzbühel,Tirol,70404,1919,28.82,49.35,553,947
Goldegg,Sankt Johann im Pongau,Salzburg,50410,2558,44.25,54.85,1132,1403
Goldwörth,Urfahr-Umgebung,Oberösterreich,41608,797,54.83,69.13,437,551
Göllersdorf,Hollabrunn,Niederösterreich,31008,3112,44.57,62.21,1387,1936
Golling an der Erlauf,Melk,Niederösterreich,31509,1494,36.08,46.92,539,701
Golling an der Salzach,Hallein,Salzburg,50204,4322,36.12,49.24,1561,2128
Gols,Neusiedl am See,Burgenland,10707,3944,49.85,64.71,1966,2552
Göming,Salzburg-Umgebung,Salzburg,50313,778,35.73,47.56,278,370
Göpfritz an der Wild,Zwettl,Niederösterreich,32505,1806,44.57,58.53,805,1057
Göriach,Tamsweg,Salzburg,50501,348,39.66,53.16,138,185
Gosau,Gmunden,Oberösterreich,40706,1822,46.21,60.21,842,1097
Gössendorf,Graz-Umgebung,Steiermark,60611,4178,39.76,54.55,1661,2279
Göstling an der Ybbs,Scheibbs,Niederösterreich,32002,1983,45.13,60.51,895,1200
Göttlesbrunn-Arbesthal,Bruck an der Leitha,Niederösterreich,30708,1450,54.34,71.93,788,1043
Götzendorf an der Leitha,Bruck an der Leitha,Niederösterreich,30709,2147,45.09,62.65,968,1345
Götzens,Innsbruck-Land,Tirol,70312,4138,47.27,62.11,1956,2570
Götzis,Feldkirch,Vorarlberg,80408,11768,47.27,56.5,5563,6649
Grabern,Hollabrunn,Niederösterreich,31009,1734,44.06,58.13,764,1008
Grafenbach-St. Valentin,Neunkirchen,Niederösterreich,31811,2254,42.95,58.16,968,1311
Grafendorf bei Hartberg,Hartberg-Fürstenfeld,Steiermark,62268,3139,37.15,52.25,1166,1640
Grafenegg,Krems (Land),Niederösterreich,31308,3197,44.73,62.28,1430,1991
Grafenschachen,Oberwart,Burgenland,10904,1249,43.55,53.8,544,672
Grafenschlag,Zwettl,Niederösterreich,32506,853,35.64,52.52,304,448
Grafenstein,Klagenfurt Land,Kärnten,20409,2999,46.22,56.45,1386,1693
Grafenwörth,Tulln,Niederösterreich,32107,3190,48.71,66.39,1554,2118
Gralla,Leibnitz,Steiermark,61012,2580,35.66,53.72,920,1386
Gramais,Reutte,Tirol,70812,41,48.78,48.78,20,20
Gramastetten,Urfahr-Umgebung,Oberösterreich,41609,5100,49.31,62.06,2515,3165
Gramatneusiedl,Bruck an der Leitha,Niederösterreich,30731,3639,39.49,57.1,1437,2078
Grän,Reutte,Tirol,70811,597,50.42,63.65,301,380
Gratkorn,Graz-Umgebung,Steiermark,60613,8147,38.25,55.69,3116,4537
Gratwein-Straßengel,Graz-Umgebung,Steiermark,60664,12759,43.21,60.05,5513,7662
Graz,Graz (Stadt),Steiermark,60101,291134,37.99,56.68,110602,165015
Greifenburg,Spittal an der Drau,Kärnten,20609,1731,35.82,49.74,620,861
Grein,Perg,Oberösterreich,41105,2905,35.8,49.47,1040,1437
Greinbach,Hartberg-Fürstenfeld,Steiermark,62214,1820,33.24,49.89,605,908
Gresten,Scheibbs,Niederösterreich,32003,1981,36.6,49.92,725,989
Gresten-Land,Scheibbs,Niederösterreich,32004,1487,25.08,35.64,373,530
Gries am Brenner,Innsbruck-Land,Tirol,70313,1332,37.09,52.25,494,696
Gries im Sellrain,Innsbruck-Land,Tirol,70314,619,41.03,60.58,254,375
Grieskirchen,Grieskirchen,Oberösterreich,40808,4984,41.39,53.23,2063,2653
Griffen,Völkermarkt,Kärnten,20808,3435,38.49,50.98,1322,1751
Grimmenstein,Neunkirchen,Niederösterreich,31812,1318,40.36,55.08,532,726
Grins,Landeck,Tirol,70607,1375,41.16,62.47,566,859
Grinzens,Innsbruck-Land,Tirol,70315,1410,42.13,59.86,594,844
Gröbming,Liezen,Steiermark,61213,3117,33.14,48.12,1033,1500
Grödig,Salzburg-Umgebung,Salzburg,50314,7392,41.36,53.65,3057,3966
Groß Gerungs,Zwettl,Niederösterreich,32508,4436,34.17,50.18,1516,2226
Groß Sankt Florian,Deutschlandsberg,Steiermark,60346,4122,37.38,53.59,1541,2209
Groß-Enzersdorf,Gänserndorf,Niederösterreich,30821,11740,44.85,63.21,5265,7421
Groß-Schweinbarth,Gänserndorf,Niederösterreich,30824,1313,45.32,64.74,595,850
Groß-Siegharts,Waidhofen an der Thaya,Niederösterreich,32207,2710,52.07,61.07,1411,1655
Großarl,Sankt Johann im Pongau,Salzburg,50411,3774,34.55,48.17,1304,1818
Großdietmanns,Gmünd,Niederösterreich,30909,2205,44.63,58.14,984,1282
Großebersdorf,Mistelbach,Niederösterreich,31614,2226,54.54,67.65,1214,1506
Großengersdorf,Mistelbach,Niederösterreich,31615,1477,44.48,66.15,657,977
Großgmain,Salzburg-Umgebung,Salzburg,50315,2640,39.89,52.88,1053,1396
Großgöttfritz,Zwettl,Niederösterreich,32509,1361,33.95,49.16,462,669
Großharras,Mistelbach,Niederösterreich,31616,1107,44.81,63.05,496,698
Großhofen,Gänserndorf,Niederösterreich,30822,106,45.28,60.38,48,64
Großhöflein,Eisenstadt-Umgebung,Burgenland,10303,2122,51.41,66.4,1091,1409
Großkirchheim,Spittal an der Drau,Kärnten,20605,1309,31.25,43.77,409,573
Großklein,Leibnitz,Steiermark,61013,2264,34.89,50.88,790,1152
Großkrut,Mistelbach,Niederösterreich,31617,1640,51.4,66.89,843,1097
Großmugl,Korneuburg,Niederösterreich,31204,1627,48.99,67.3,797,1095
Großmürbisch,Güssing,Burgenland,10420,235,60.85,75.74,143,178
Großpetersdorf,Oberwart,Burgenland,10905,3549,52.21,63.68,1853,2260
Großraming,Steyr-Land,Oberösterreich,41507,2671,42.38,51.97,1132,1388
Großriedenthal,Tulln,Niederösterreich,32109,940,51.28,69.47,482,653
Großrußbach,Korneuburg,Niederösterreich,31205,2234,47.63,63.83,1064,1426
Großschönau,Gmünd,Niederösterreich,30912,1221,37.18,53.15,454,649
Großsteinbach,Hartberg-Fürstenfeld,Steiermark,62216,1286,42.85,59.33,551,763
Großwarasdorf,Oberpullendorf,Burgenland,10804,1354,56.06,69.05,759,935
Großweikersdorf,Tulln,Niederösterreich,32110,3245,52.11,66.96,1691,2173
Großwilfersdorf,Hartberg-Fürstenfeld,Steiermark,62269,2096,43.46,57.82,911,1212
Grünau im Almtal,Gmunden,Oberösterreich,40707,2045,43.47,53.5,889,1094
Grünbach,Freistadt,Oberösterreich,40602,1927,33.26,46.5,641,896
Grünbach am Schneeberg,Neunkirchen,Niederösterreich,31813,1588,47.67,59.13,757,939
Grünburg,Kirchdorf an der Krems,Oberösterreich,40902,3847,36.6,48.32,1408,1859
Grundlsee,Liezen,Steiermark,61215,1167,44.47,58.1,519,678
Gschnitz,Innsbruck-Land,Tirol,70317,436,32.57,48.39,142,211
Gschwandt,Gmunden,Oberösterreich,40708,2880,36.98,51.94,1065,1496
Gumpoldskirchen,Mödling,Niederösterreich,31709,3921,48.53,66.79,1903,2619
Günselsdorf,Baden,Niederösterreich,30612,1697,35.12,54.15,596,919
Gunskirchen,Wels-Land,Oberösterreich,41808,6343,39.54,51.43,2508,3262
Guntersdorf,Hollabrunn,Niederösterreich,31014,1156,49.83,65.31,576,755
Guntramsdorf,Mödling,Niederösterreich,31710,9152,47.14,64.08,4314,5865
Gurk,Sankt Veit an der Glan,Kärnten,20508,1184,50.93,64.36,603,762
Gurten,Ried im Innkreis,Oberösterreich,41208,1198,42.24,55.51,506,665
Güssing,Güssing,Burgenland,10405,3665,54.02,66.44,1980,2435
Gutau,Freistadt,Oberösterreich,40603,2752,38.77,53.13,1067,1462
Gutenberg-Stenzengreith,Weiz,Steiermark,61761,1618,42.65,56.86,690,920
Gutenbrunn,Zwettl,Niederösterreich,32511,506,47.83,59.88,242,303
Gutenstein,Wiener Neustadt (Land),Niederösterreich,32308,1267,40.17,52.01,509,659
Guttaring,Sankt Veit an der Glan,Kärnten,20509,1482,43.66,57.09,647,846
Güttenbach,Güssing,Burgenland,10406,883,61.61,73.05,544,645
Haag,Amstetten,Niederösterreich,30514,5656,38.28,53.75,2165,3040
Haag am Hausruck,Grieskirchen,Oberösterreich,40809,2201,42.84,59.02,943,1299
Hackerberg,Güssing,Burgenland,10418,364,44.51,59.07,162,215
Hadersdorf-Kammern,Krems (Land),Niederösterreich,31315,1966,46.59,64.5,916,1268
Hadres,Hollabrunn,Niederösterreich,31015,1703,50.91,64.65,867,1101
Hafnerbach,Sankt Pölten (Land),Niederösterreich,31910,1651,51.18,63.78,845,1053
Hagenberg im Mühlkreis,Freistadt,Oberösterreich,40604,2795,41.4,58.25,1157,1628
Hagenbrunn,Korneuburg,Niederösterreich,31206,2363,47.61,64.45,1125,1523
Haibach im Mühlkreis,Urfahr-Umgebung,Oberösterreich,41610,921,46.04,57.98,424,534
Haibach ob der Donau,Eferding,Oberösterreich,40505,1271,35.25,49.8,448,633
Haidershofen,Amstetten,Niederösterreich,30515,3710,37.76,50.7,1401,1881
Haigermoos,Braunau am Inn,Oberösterreich,40411,623,38.2,46.55,238,290
Haiming,Imst,Tirol,70202,4770,39.83,57.25,1900,2731
Hainburg a.d. Donau,Bruck an der Leitha,Niederösterreich,30710,6975,37.91,53.49,2644,3731
Hainfeld,Lilienfeld,Niederösterreich,31403,3756,42.81,55.27,1608,2076
Hainzenberg,Schwaz,Tirol,70914,723,54.36,57.26,393,414
Halbenrain,Südoststeiermark,Steiermark,62326,1728,51.33,63.54,887,1098
Halbturn,Neusiedl am See,Burgenland,10708,1924,53.01,67.2,1020,1293
Hall in Tirol,Innsbruck-Land,Tirol,70354,14243,41.29,57.4,5881,8175
Hallein,Hallein,Salzburg,50205,21353,39.25,50.31,8381,10743
Hallstatt,Gmunden,Oberösterreich,40709,746,47.18,59.38,352,443
Hallwang,Salzburg-Umgebung,Salzburg,50316,4192,42.75,55.46,1792,2325
Handenberg,Braunau am Inn,Oberösterreich,40412,1328,31.63,43.3,420,575
Hannersdorf,Oberwart,Burgenland,10906,746,57.64,67.29,430,502
Hard,Bregenz,Vorarlberg,80215,13591,46.23,58.24,6283,7915
Hardegg,Hollabrunn,Niederösterreich,31016,1309,53.93,69.06,706,904
Hargelsberg,Linz-Land,Oberösterreich,41006,1420,42.32,56.69,601,805
Haringsee,Gänserndorf,Niederösterreich,30825,1170,54.19,69.91,634,818
Harmannsdorf,Korneuburg,Niederösterreich,31207,4030,48.26,67.37,1945,2715
Hart bei Graz,Graz-Umgebung,Steiermark,60617,5236,45.15,62.59,2364,3277
Hart im Zillertal,Schwaz,Tirol,70915,1600,55.5,60.69,888,971
Hartberg,Hartberg-Fürstenfeld,Steiermark,62219,6794,41.8,55.58,2840,3776
Hartberg Umgebung,Hartberg-Fürstenfeld,Steiermark,62220,2185,37.48,50.71,819,1108
Hartkirchen,Eferding,Oberösterreich,40506,4042,41.76,54.77,1688,2214
Hartl,Hartberg-Fürstenfeld,Steiermark,62270,2127,33.15,48.47,705,1031
Häselgehr,Reutte,Tirol,70813,666,42.34,53.3,282,355
Haselsdorf-Tobelbad,Graz-Umgebung,Steiermark,60618,1567,40.52,55.52,635,870
Haslach an der Mühl,Rohrbach,Oberösterreich,41309,2548,46.23,55.61,1178,1417
Haslau-Maria Ellend,Bruck an der Leitha,Niederösterreich,30711,2035,46.98,65.31,956,1329
Hatting,Innsbruck-Land,Tirol,70318,1469,39.41,60.45,579,888
Haugschlag,Gmünd,Niederösterreich,30915,475,36,55.58,171,264
Haugsdorf,Hollabrunn,Niederösterreich,31018,1597,44.83,61.62,716,984
Haunoldstein,Sankt Pölten (Land),Niederösterreich,31911,1240,44.11,58.15,547,721
Haus,Liezen,Steiermark,61217,2458,33.03,46.14,812,1134
Hausbrunn,Mistelbach,Niederösterreich,31620,871,48.68,61.77,424,538
Hauskirchen,Gänserndorf,Niederösterreich,30826,1283,42.09,59.55,540,764
Hausleiten,Korneuburg,Niederösterreich,31208,3849,43.86,64.9,1688,2498
Hausmannstätten,Graz-Umgebung,Steiermark,60619,3593,41.58,59.56,1494,2140
Heidenreichstein,Gmünd,Niederösterreich,30916,3882,40.88,58.29,1587,2263
Heiligenberg,Grieskirchen,Oberösterreich,40810,702,33.62,48.86,236,343
Heiligenblut am Großglockner,Spittal an der Drau,Kärnten,20610,975,34.36,45.74,335,446
Heiligenbrunn,Güssing,Burgenland,10407,744,59.14,69.89,440,520
Heiligenkreuz,Baden,Niederösterreich,30613,1532,42.36,57.57,649,882
Heiligenkreuz am Waasen,Leibnitz,Steiermark,61052,2833,39.22,54.25,1111,1537
Heiligenkreuz im Lafnitztal,Jennersdorf,Burgenland,10503,1262,48.89,59.11,617,746
Heimschuh,Leibnitz,Steiermark,61016,1989,38.06,54.75,757,1089
Heinfels,Lienz,Tirol,70735,1008,34.13,47.72,344,481
Heiterwang,Reutte,Tirol,70814,531,41.62,53.86,221,286
Heldenberg,Hollabrunn,Niederösterreich,31019,1389,49.17,63.71,683,885
Helfenberg,Rohrbach,Oberösterreich,41345,1533,39.53,53.23,606,816
Hellmonsödt,Urfahr-Umgebung,Oberösterreich,41611,2349,49.77,58.24,1169,1368
Helpfau-Uttendorf,Braunau am Inn,Oberösterreich,40413,3697,31.32,42.82,1158,1583
Hengsberg,Leibnitz,Steiermark,61017,1503,34.13,53.09,513,798
Henndorf am Wallersee,Salzburg-Umgebung,Salzburg,50317,5025,39.36,53.21,1978,2674
Hennersdorf,Mödling,Niederösterreich,31711,1540,48.9,65.84,753,1014
Hermagor-Pressegger See,Hermagor,Kärnten,20305,6915,44.84,56.96,3101,3939
Hernstein,Baden,Niederösterreich,30614,1567,44.29,61.14,694,958
Herrnbaumgarten,Mistelbach,Niederösterreich,31621,946,50.21,69.98,475,662
Herzogenburg,Sankt Pölten (Land),Niederösterreich,31912,7823,40.7,57.65,3184,4510
Herzogsdorf,Urfahr-Umgebung,Oberösterreich,41612,2675,35.55,50.58,951,1353
Heugraben,Güssing,Burgenland,10424,227,48.9,61.23,111,139
Himberg,Bruck an der Leitha,Niederösterreich,30732,7569,47.23,64.99,3575,4919
Himmelberg,Feldkirchen,Kärnten,21005,2297,37,46.97,850,1079
Hinterbrühl,Mödling,Niederösterreich,31712,3944,51.34,67.14,2025,2648
Hinterhornbach,Reutte,Tirol,70815,94,28.72,51.06,27,48
Hintersee,Salzburg-Umgebung,Salzburg,50318,472,28.39,44.07,134,208
Hinterstoder,Kirchdorf an der Krems,Oberösterreich,40903,902,46.12,59.76,416,539
Hinzenbach,Eferding,Oberösterreich,40507,2062,40.16,53.64,828,1106
Hippach,Schwaz,Tirol,70916,1443,54.61,59.11,788,853
Hirm,Mattersburg,Burgenland,10603,1012,46.84,61.56,474,623
Hirschbach,Gmünd,Niederösterreich,30917,586,45.05,59.22,264,347
Hirschbach im Mühlkreis,Freistadt,Oberösterreich,40605,1177,40.78,54.72,480,644
Hirschegg-Pack,Voitsberg,Steiermark,61629,1017,40.71,56.93,414,579
Hirtenberg,Baden,Niederösterreich,30615,2565,32.2,47.56,826,1220
Hittisau,Bregenz,Vorarlberg,80216,2060,47.82,50.73,985,1045
Hitzendorf,Graz-Umgebung,Steiermark,60665,7259,40.21,56.56,2919,4106
Hochburg-Ach,Braunau am Inn,Oberösterreich,40414,3338,34.06,41.46,1137,1384
Hochfilzen,Kitzbühel,Tirol,70405,1275,36.55,58.82,466,750
Hochleithen,Mistelbach,Niederösterreich,31622,1136,52.2,70.69,593,803
Hochneukirchen-Gschaidt,Wiener Neustadt (Land),Niederösterreich,32309,1633,45.93,58.24,750,951
Höchst,Bregenz,Vorarlberg,80217,8167,43.92,54.52,3587,4453
Hochwolkersdorf,Wiener Neustadt (Land),Niederösterreich,32310,1016,38.78,59.65,394,606
Hof am Leithaberge,Bruck an der Leitha,Niederösterreich,30713,1592,49.43,65.95,787,1050
Hof bei Salzburg,Salzburg-Umgebung,Salzburg,50319,3587,38.64,50.66,1386,1817
Hofamt Priel,Melk,Niederösterreich,31511,1731,42,55.11,727,954
Höfen,Reutte,Tirol,70816,1253,42.86,60.89,537,763
Hofkirchen an der Trattnach,Grieskirchen,Oberösterreich,40811,1666,39.74,50.42,662,840
Hofkirchen im Mühlkreis,Rohrbach,Oberösterreich,41312,1522,42.84,53.09,652,808
